provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
Giganews,40861,PARAD-40-ASN,1,United States,lt-50,8,78.0,VPN-Infrastructure-Atlas
VPN Unlimited,12876,Online SAS,1,France,lt-50,13,70.0,VPN-Infrastructure-Atlas
VyprVPN,40861,PARAD-40-ASN,1,United States,lt-50,8,95.0,VPN-Infrastructure-Atlas
ProtonVPN,199218,PROTONVPN-2,1,Switzerland,lt-50,5,95.0,VPN-Infrastructure-Atlas
SSHMax,60592,GRANSY Gransy s.r.o. gransy.com,1,Czechia,lt-50,2,70.0,VPN-Infrastructure-Atlas
Sentinel dVPN,214677,DELUXHOST,1,Italy,lt-50,12,95.0,VPN-Infrastructure-Atlas
Surfshark,60068,CDN77 _,9,Switzerland; Czechia; Italy; Japan; Poland; Sweden; Singapore; Slovakia; United States,lt-50,15,95.0,VPN-Infrastructure-Atlas
VPN Gate,4766,KIXS-AS-KR Korea Telecom,1,South Korea,lt-50,18,78.0,VPN-Infrastructure-Atlas
VPN Jantit,215540,GCS-AS,1,United Kingdom,lt-50,15,88.0,VPN-Infrastructure-Atlas
VPNUK,51905,CWCS-VM CompuWeb Communications Services Ltd,1,United Kingdom,lt-50,8,95.0,VPN-Infrastructure-Atlas
WLVPN,206804,ESTNOC-GLOBAL,1,Estonia,lt-50,3,95.0,VPN-Infrastructure-Atlas
WiTopia,47100,WITOPIA-AS1,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
Windscribe,133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,1,Australia,lt-50,6,95.0,VPN-Infrastructure-Atlas
Windscribe,13737,AS-INCX,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
IPVanish,206804,ESTNOC-GLOBAL,1,Estonia,lt-50,3,95.0,VPN-Infrastructure-Atlas
NordVPN,51747,INTERNETBOLAGET,1,Sweden,lt-50,1,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",1,China,lt-50,17,95.0,VPN-Infrastructure-Atlas
AirVPN,52048,RIXHOST,1,Latvia,lt-50,4,95.0,VPN-Infrastructure-Atlas
Anonine,136557,HOST-AS-AP Host Universal Pty Ltd,1,Australia,lt-50,2,95.0,VPN-Infrastructure-Atlas
Astrill,22439,PERFECT-INTERNATIONAL,1,United States,lt-50,3,78.2,VPN-Infrastructure-Atlas
Astrill,29066,VELIANET-AS velia.net Internetdienste GmbH,1,Germany,lt-50,9,78.0,VPN-Infrastructure-Atlas
Astrill,396356,LATITUDE-SH,1,United States,lt-50,5,78.0,VPN-Infrastructure-Atlas
BoxPN,136557,HOST-AS-AP Host Universal Pty Ltd,1,Australia,lt-50,2,95.0,VPN-Infrastructure-Atlas
EasyHideIP,136557,HOST-AS-AP Host Universal Pty Ltd,1,Australia,lt-50,2,95.0,VPN-Infrastructure-Atlas
FrootVPN,136557,HOST-AS-AP Host Universal Pty Ltd,1,Australia,lt-50,2,95.0,VPN-Infrastructure-Atlas
