provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
BoxPN,Poland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Spain,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Poland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,France,lt-50,8,4,lt-50,70.0,VPN-Infrastructure-Atlas
FlowVPN,Netherlands,lt-50,9,1,lt-50,70.0,VPN-Infrastructure-Atlas
FrootVPN,Spain,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Poland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Hotspotshield,United Kingdom,lt-50,9,3,lt-50,78.0,VPN-Infrastructure-Atlas
Hotspotshield,United States,lt-50,9,3,lt-50,78.0,VPN-Infrastructure-Atlas
Kompot VPN,Russia,lt-50,6,4,lt-50,71.1,VPN-Infrastructure-Atlas
OVPN,United Kingdom,lt-50,8,1,lt-50,95.0,VPN-Infrastructure-Atlas
OysterVPN,United States,lt-50,7,3,lt-50,95.0,VPN-Infrastructure-Atlas
Privado,India,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Cyprus,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,United Kingdom,lt-50,3,3,lt-50,95.0,VPN-Infrastructure-Atlas
